0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.057
0.3,0.05
0.3,0.05
0.3,0.043
0.293,0.043
0.293,0.044
0.307,0.044
0.307,0.029
0.301,0.029
0.301,0.009
0.301,0.009
0.301,0.009
0.301,0.009
0.301,0.009
0.306,0.009
0.306,0.092
0.341,0.092
0.341,0.085
0.326,0.085
0.326,0.162
0.318,0.162
0.318,0.225
7.675,0.225
7.675,-0.051
22.188,-0.051
22.188,-0.452
29.855,-0.452
29.855,-0.884
40.314,-0.884
40.314,-1.733
53.817,-1.733
53.817,-2.675
68.693,-2.675
68.693,-4.115
79.204,-4.115
79.204,-4.846
91.046,-4.846
91.046,-6.135
101.49,-6.135
101.49,-6.928
116.069,-6.928
116.069,-8.416
123.838,-8.416
123.838,-9.21
132.934,-9.21
132.934,-9.829
142.237,-9.829
142.237,-10.29
155.062,-10.29
155.062,-11.04
164.065,-11.04
164.065,-11.273
173.946,-11.273
173.946,-11.156
-176.086,-11.156
-176.086,-10.984
-164.437,-10.984
-164.437,-10.77
-154.038,-10.77
-154.038,-10.198
-144.988,-10.198
-144.988,-9.439
-135.186,-9.439
-135.186,-8.723
-123.673,-8.723
-123.673,-7.915
-112.81,-7.915
-112.81,-6.779
-103.507,-6.779
-103.507,-5.718
-94.306,-5.718
-94.306,-4.848
-79.875,-4.848
-79.875,-3.536
-70.577,-3.536
-70.577,-2.465
-61.452,-2.465
-61.452,-1.532
-50.318,-1.532
-50.318,-0.789
-33.296,-0.789
-33.296,0.405
-21.936,0.405
-21.936,0.898
-13.059,0.898
-13.059,1.13
-3.02,1.13
-3.02,1.131
11.057,1.131
11.057,0.899
18.639,0.899
18.639,0.692
28.973,0.692
28.973,0.162
39.489,0.162
39.489,-0.542
56.551,-0.542
56.551,-1.926
69.084,-1.926
69.084,-3.188
79.195,-3.188
79.195,-4.28
91.585,-4.28
91.585,-5.516
104.811,-5.516
104.811,-6.882
113.449,-6.882
113.449,-7.821
123.882,-7.821
123.882,-8.724
131.545,-8.724
131.545,-9.262
146.803,-9.262
146.803,-10.301
154.271,-10.301
154.271,-10.665
